開催日,日目,レース,開催日,着,actual_boat1_win,P(1号艇1着),予測,的中
2024-02-12,2,11,2024-02-12,1,1,0.8292966754270554,1,True
2024-02-12,2,12,2024-02-12,1,1,0.843501470899182,1,True
2024-02-13,3,1,2024-02-13,2,0,0.2655825488781139,0,True
2024-02-13,3,2,2024-02-13,4,0,0.37129677344609446,0,True
2024-02-13,3,3,2024-02-13,2,0,0.42699002147382664,0,True
2024-02-13,3,4,2024-02-13,3,0,0.7210244827140546,1,False
2024-02-13,3,5,2024-02-13,1,1,0.6776357008654651,1,True
2024-02-13,3,6,2024-02-13,2,0,0.7660282140234213,1,False
2024-02-13,3,7,2024-02-13,2,0,0.7099065962892478,1,False
2024-02-13,3,8,2024-02-13,1,1,0.7646875820863568,1,True
2024-02-13,3,9,2024-02-13,1,1,0.7804589388297011,1,True
2024-02-13,3,10,2024-02-13,1,1,0.8482175561695661,1,True
2024-02-13,3,11,2024-02-13,2,0,0.3285857016419802,0,True
2024-02-13,3,12,2024-02-13,1,1,0.8221746818714168,1,True
2024-02-14,4,1,2024-02-14,5,0,0.3655808837119161,0,True
2024-02-14,4,2,2024-02-14,1,1,0.6599492393197195,1,True
2024-02-14,4,3,2024-02-14,1,1,0.836170555940717,1,True
2024-02-14,4,4,2024-02-14,2,0,0.5394710206681599,1,False
2024-02-14,4,5,2024-02-14,1,1,0.8423981351759022,1,True
2024-02-14,4,6,2024-02-14,2,0,0.8329467399189251,1,False
2024-02-14,4,7,2024-02-14,2,0,0.8108927840997152,1,False
2024-02-14,4,8,2024-02-14,1,1,0.5918617748959496,1,True
2024-02-14,4,9,2024-02-14,2,0,0.8340404052966306,1,False
2024-02-14,4,10,2024-02-14,1,1,0.6127765986412088,1,True
2024-02-14,4,11,2024-02-14,1,1,0.6824548718533122,1,True
2024-02-14,4,12,2024-02-14,2,0,0.7370145900362012,1,False
2024-02-15,5,1,2024-02-15,1,1,0.6027867146100844,1,True
2024-02-15,5,2,2024-02-15,1,1,0.8535583569214228,1,True
2024-02-15,5,3,2024-02-15,2,0,0.7546172662737759,1,False
2024-02-15,5,4,2024-02-15,1,1,0.8212660272540687,1,True
2024-02-15,5,5,2024-02-15,1,1,0.8131291607651394,1,True
2024-02-15,5,7,2024-02-15,1,1,0.7671305411071933,1,True
2024-02-15,5,8,2024-02-15,3,0,0.5614634651205429,1,False
2024-02-15,5,9,2024-02-15,3,0,0.6004159192364706,1,False
2024-02-15,5,10,2024-02-15,1,1,0.8815884126390686,1,True
2024-02-15,5,11,2024-02-15,3,0,0.5381160224527731,1,False
2024-02-15,5,12,2024-02-15,5,0,0.6271356619449561,1,False
2024-02-16,6,1,2024-02-16,2,0,0.5181102881242768,1,False
2024-02-16,6,2,2024-02-16,5,0,0.5811993992641913,1,False
2024-02-16,6,3,2024-02-16,1,1,0.2936791658192513,0,False
2024-02-16,6,4,2024-02-16,5,0,0.21663866359389755,0,True
2024-02-16,6,5,2024-02-16,2,0,0.5608431975004504,1,False
2024-02-16,6,6,2024-02-16,2,0,0.6508591354030671,1,False
2024-02-16,6,7,2024-02-16,1,1,0.5501547659969762,1,True
2024-02-16,6,8,2024-02-16,1,1,0.6245436958177711,1,True
2024-02-16,6,9,2024-02-16,1,1,0.776845255285927,1,True
2024-02-16,6,10,2024-02-16,1,1,0.8355222397383343,1,True
2024-02-16,6,11,2024-02-16,1,1,0.8192144290725334,1,True
2024-02-16,6,12,2024-02-16,2,0,0.8665286353367335,1,False
2024-02-20,1,1,2024-02-20,1,1,0.4522849344204066,0,False
2024-02-20,1,2,2024-02-20,3,0,0.2971973658460955,0,True
2024-02-20,1,3,2024-02-20,4,0,0.3917216526114107,0,True
2024-02-20,1,4,2024-02-20,6,0,0.027413407743826113,0,True
2024-02-20,1,5,2024-02-20,2,0,0.28939426604552926,0,True
2024-02-20,1,7,2024-02-20,2,0,0.4474881420971048,0,True
