race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-07-25_R4,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-25_R5,3-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-25_R6,5-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-25_R8,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-26_R3,3-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-26_R5,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-26_R8,2-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-26_R10,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-27_R1,4-3-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-27_R2,3-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-27_R3,6-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-27_R4,5-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-27_R5,5-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-27_R6,4-2-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-28_R2,5-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-28_R3,3-4-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-28_R5,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-28_R11,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-29_R2,5-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-29_R4,5-2-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-29_R6,2-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-29_R12,5-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-30_R1,5-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-30_R2,5-2-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-30_R5,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-30_R7,2-1-6,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-30_R8,2-1-6,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
