開催日,レース,着,艇,登番,モーター,展示,進入,スタート,boat1_win
2025-01-25,12,2,4,4019,12,6.77,2,0.25,0
2025-01-25,12,3,3,3898,50,6.8,3,0.21,0
2025-01-25,12,4,1,4084,49,6.81,4,0.19,0
2025-01-25,12,5,2,4033,59,6.74,5,0.18,0
2025-01-25,12,6,5,4856,58,6.84,6,0.25,0
2025-01-26,3,1,6,4747,17,6.79,1,0.17,0
2025-01-26,3,2,1,3188,47,6.71,2,0.05,0
2025-01-26,3,3,3,3947,34,6.83,3,0.11,0
2025-01-26,3,4,5,4346,60,6.8,6,0.16,0
2025-01-26,3,5,4,5317,8,6.82,4,0.11,0
2025-01-26,3,6,2,4650,37,6.85,5,0.08,0
2025-01-26,4,1,4,3054,38,6.83,1,0.12,0
2025-01-26,4,2,3,4894,61,6.83,2,0.19,0
2025-01-26,4,3,6,4203,14,6.83,3,0.08,0
2025-01-26,4,4,1,3974,1,6.8,4,0.11,0
2025-01-26,4,5,2,4470,56,6.85,5,0.11,0
2025-01-26,4,6,5,4447,20,6.89,6,0.11,0
2025-01-26,9,1,5,4254,32,6.69,1,0.13,0
2025-01-26,9,2,1,4095,27,6.88,3,0.15,0
2025-01-26,9,3,6,5274,26,6.88,4,0.25,0
2025-01-26,9,4,4,3947,34,6.87,2,0.26,0
2025-01-26,9,5,2,4344,41,6.78,5,0.12,0
2025-01-26,9,6,3,4894,61,6.8,6,0.19,0
2025-01-27,1,1,4,5155,24,6.85,1,0.19,0
2025-01-27,1,2,5,4519,65,6.84,2,0.3,0
2025-01-27,1,3,2,4894,61,6.89,3,0.19,0
2025-01-27,1,4,1,4244,57,6.83,4,0.18,0
2025-01-27,1,5,3,5317,8,6.9,5,0.25,0
2025-01-27,1,6,6,5370,44,6.84,6,0.33,0
2025-01-27,3,1,5,3313,62,6.84,1,0.33,0
2025-01-27,3,2,2,3967,11,6.93,2,0.25,0
2025-01-27,3,3,6,3989,2,6.96,3,0.21,0
2025-01-27,3,4,1,3054,38,6.95,4,0.15,0
2025-01-27,3,5,3,3188,47,6.82,5,0.19,0
2025-01-27,3,6,4,4095,27,6.9,6,0.35,0
2025-01-27,4,1,4,5274,26,6.85,1,0.09,0
2025-01-27,4,2,5,3974,1,6.85,2,0.01,0
2025-01-27,4,3,1,4823,10,6.78,3,0.08,0
2025-01-27,4,4,2,4033,59,6.77,4,0.14,0
2025-01-27,4,5,3,4203,14,6.83,5,0.17,0
2025-01-27,4,6,6,4608,48,6.91,6,0.16,0
2025-01-27,5,1,4,4519,65,6.82,1,0.2,0
2025-01-27,5,2,1,4084,49,6.82,2,0.11,0
2025-01-27,5,3,2,4154,15,6.84,3,0.17,0
2025-01-27,5,4,5,4466,54,6.84,4,0.23,0
2025-01-27,5,5,3,4798,33,6.88,6,0.17,0
2025-01-27,5,6,6,3293,51,6.91,5,0.21,0
2025-01-27,7,1,3,4447,20,6.85,1,0.11,0
2025-01-27,7,2,2,3898,50,6.95,2,0.19,0
2025-01-27,7,3,1,4244,57,6.81,3,0.12,0
2025-01-27,7,4,4,4344,41,6.89,4,0.14,0
2025-01-27,7,5,6,5309,30,6.97,5,0.26,0
2025-01-27,7,6,5,3967,11,7.02,6,0.25,0
2025-01-27,9,1,2,4470,56,6.91,1,0.21,0
2025-01-27,9,2,1,4203,14,6.91,2,0.19,0
2025-01-27,9,3,5,4747,17,6.95,3,0.19,0
2025-01-27,9,4,6,3855,22,6.9,4,0.19,0
2025-01-27,9,5,3,4019,12,6.97,5,0.21,0
2025-01-27,9,6,4,4690,43,6.97,6,0.21,0
2025-01-27,11,1,4,3898,50,6.91,1,0.13,0
2025-01-27,11,2,2,4650,37,6.89,2,0.11,0
2025-01-27,11,3,3,4798,33,6.91,3,0.14,0
2025-01-27,11,4,5,4823,10,6.89,4,0.1,0
2025-01-27,11,5,1,4095,27,6.87,5,0.17,0
2025-01-27,11,6,6,3931,29,6.93,6,0.26,0
2025-01-28,4,1,5,3974,1,6.91,1,0.19,0
2025-01-28,4,2,3,4019,12,6.89,2,0.22,0
2025-01-28,4,3,4,3920,7,6.94,3,0.26,0
