開催日,日目,レース,3連単,3連単オッズ,予測オッズ,予測誤差
2023-12-24,2,11,1-2-4,5.3,6.708059374498192,1.4080593744981922
2023-12-24,2,12,1-4-2,9.4,11.410337942127224,2.010337942127224
2023-12-25,3,3,1-3-2,25.7,51.562131591433385,25.862131591433386
2023-12-25,3,5,1-5-2,62.1,34.16436716972214,-27.93563283027786
2023-12-25,3,8,1-2-4,4.3,7.504732669919057,3.204732669919057
2023-12-25,3,10,1-3-4,30.5,24.520103186485393,-5.979896813514607
2023-12-25,3,11,1-2-3,8.7,5.813135899284385,-2.8868641007156146
2023-12-25,3,12,1-5-6,21.9,32.21954211810585,10.31954211810585
2023-12-26,4,8,1-2-4,3.8,3.1512290165283514,-0.6487709834716484
2023-12-26,4,12,1-2-6,6.1,12.459348317475385,6.359348317475385
2023-12-27,5,2,1-6-2,14.5,29.823926702020316,15.323926702020316
2023-12-27,5,4,1-6-5,21.4,25.55887078973156,4.158870789731562
2023-12-27,5,6,1-4-3,5.0,9.626272681537557,4.626272681537557
2023-12-27,5,7,1-2-6,3.6,10.698812185308372,7.098812185308372
2023-12-27,5,8,1-4-3,19.2,14.99638736780932,-4.20361263219068
2023-12-27,5,9,1-2-3,4.5,5.3220305518845485,0.8220305518845485
2023-12-27,5,11,1-2-3,3.7,4.8871868339638365,1.1871868339638363
2023-12-27,5,12,1-2-6,46.3,33.77986228398136,-12.520137716018638
2023-12-28,6,1,1-3-5,37.5,22.93994280733087,-14.560057192669131
2023-12-28,6,3,1-5-2,22.6,27.956290741055515,5.356290741055513
2023-12-28,6,4,1-6-5,33.5,35.992333206914076,2.4923332069140756
2023-12-28,6,7,1-2-6,9.3,12.135392898361129,2.8353928983611283
2023-12-28,6,9,1-3-2,15.3,30.162134801552778,14.862134801552777
2023-12-28,6,10,1-3-2,5.9,14.630703240346213,8.730703240346212
2023-12-28,6,11,1-3-4,10.5,11.862675031761578,1.3626750317615777
2023-12-28,6,12,1-2-4,16.2,10.611781710462827,-5.588218289537172
2023-12-30,1,5,1-6-4,70.9,24.19016996646403,-46.70983003353598
2023-12-30,1,8,1-2-4,3.5,5.57399444976216,2.07399444976216
2023-12-30,1,9,1-2-4,12.0,9.858737878316859,-2.141262121683141
2023-12-30,1,10,1-2-4,6.5,5.272221401127985,-1.227778598872015
2023-12-30,1,12,1-6-5,139.4,35.371855934678095,-104.02814406532191
2023-12-31,2,6,1-3-4,6.7,9.547252573618518,2.847252573618518
2023-12-31,2,8,1-3-5,23.4,15.752083426434517,-7.647916573565482
2023-12-31,2,9,1-2-3,11.7,7.675919574890009,-4.02408042510999
2023-12-31,2,10,1-3-6,43.2,23.31754039188628,-19.882459608113724
2023-12-31,2,11,1-3-2,8.4,10.178821445357649,1.7788214453576483
2023-12-31,2,12,1-2-4,7.3,6.047739943999872,-1.2522600560001278
2024-01-01,3,7,1-3-4,16.7,10.832096694917725,-5.867903305082274
2024-01-01,3,8,1-2-4,8.4,4.395565993603459,-4.004434006396542
2024-01-01,3,10,1-2-3,17.5,9.868264251510826,-7.631735748489174
2024-01-01,3,12,1-2-5,20.6,16.58435203021941,-4.015647969780591
2024-01-02,4,1,1-4-6,20.7,26.80714269472138,6.107142694721382
2024-01-02,4,2,1-5-2,37.5,27.267416768212723,-10.232583231787277
2024-01-02,4,6,1-5-4,147.8,101.06583316503357,-46.734166834966445
2024-01-02,4,7,1-3-6,4.7,16.116681947113122,11.416681947113123
2024-01-02,4,8,1-2-3,5.9,5.425854919747329,-0.4741450802526712
2024-01-02,4,9,1-3-5,7.8,11.240790975691095,3.440790975691095
2024-01-02,4,12,1-6-2,28.3,29.43379023066203,1.1337902306620293
2024-01-03,5,5,1-2-3,5.0,6.1762330102323855,1.1762330102323855
2024-01-03,5,10,1-3-2,9.8,12.4109195360281,2.6109195360280992
2024-01-03,5,11,1-2-3,3.8,5.806196753645567,2.0061967536455674
2024-01-03,5,12,1-4-3,13.3,21.95926214450099,8.659262144500989
2024-01-05,1,1,1-2-3,6.2,19.129873888588673,12.929873888588673
2024-01-05,1,2,1-5-2,17.0,33.13392742599782,16.13392742599782
2024-01-05,1,8,1-4-5,20.2,18.373480725306102,-1.8265192746938972
2024-01-05,1,10,1-2-4,5.4,7.756542048938717,2.3565420489387163
2024-01-06,2,1,1-2-5,9.4,15.30335394252708,5.90335394252708
2024-01-06,2,5,1-3-5,30.3,35.681540491388326,5.381540491388325
2024-01-06,2,7,1-4-5,265.2,72.730174800439,-192.469825199561
2024-01-06,2,8,1-4-6,22.7,49.52855711363935,26.828557113639352
2024-01-06,2,11,1-3-2,6.7,11.317206351948569,4.617206351948568
2024-01-07,3,1,1-4-3,13.9,19.468251291543318,5.5682512915433175
2024-01-07,3,5,1-2-3,6.8,7.350835718183542,0.5508357181835422
2024-01-08,4,2,1-2-4,13.6,20.554252078452457,6.954252078452457
2024-01-08,4,3,1-2-6,67.0,44.116540893526086,-22.883459106473914
2024-01-08,4,6,1-4-5,28.7,19.87893686310348,-8.82106313689652
2024-01-08,4,9,1-2-4,9.5,7.821200098736555,-1.678799901263445
2024-01-09,5,1,1-2-5,29.8,14.497384146421297,-15.302615853578704
2024-01-09,5,3,1-6-4,19.2,23.756589175729992,4.556589175729993
2024-01-09,5,7,1-2-6,15.4,19.865723570295064,4.465723570295063
2024-01-09,5,11,1-2-4,13.9,5.856484725771731,-8.04351527422827
2024-01-10,6,1,1-4-3,15.3,21.208124617867167,5.908124617867166
2024-01-10,6,2,1-3-2,8.8,16.33218471586071,7.5321847158607085
2024-01-10,6,4,1-2-3,10.0,11.990351454591483,1.990351454591483
2024-01-10,6,5,1-4-2,15.0,18.347597794080247,3.3475977940802473
2024-01-10,6,6,1-2-3,4.5,6.320426667812834,1.8204266678128338
2024-01-10,6,7,1-2-4,6.3,7.694835001413348,1.3948350014133482
2024-01-10,6,8,1-4-2,7.7,4.9540248977110775,-2.7459751022889227
2024-01-15,1,3,1-6-2,16.3,27.479172254978593,11.179172254978592
2024-01-15,1,7,1-6-4,142.9,58.67888168513154,-84.22111831486846
2024-01-15,1,8,1-2-6,37.1,27.820797301444866,-9.279202698555135
2024-01-15,1,9,1-4-2,47.9,34.1343182361107,-13.765681763889297
2024-01-15,1,11,1-4-6,47.8,30.275785703378794,-17.524214296621203
2024-01-16,2,5,1-2-4,29.1,19.920668384256754,-9.179331615743248
2024-01-16,2,6,1-6-2,281.1,66.7376222223236,-214.36237777767644
2024-01-16,2,8,1-2-6,23.5,25.319713723908187,1.8197137239081869
2024-01-16,2,9,1-3-2,12.5,13.488754302191637,0.9887543021916372
2024-01-16,2,10,1-4-6,17.1,22.0949782214348,4.994978221434799
2024-01-16,2,11,1-4-3,8.9,27.1050277094235,18.205027709423497
2024-01-16,2,12,1-2-3,8.1,7.530599638448134,-0.5694003615518657
2024-01-17,3,2,1-3-4,7.7,10.532255180665512,2.832255180665512
2024-01-17,3,8,1-2-4,4.9,5.764955785982416,0.8649557859824153
2024-01-17,3,9,1-2-3,21.8,9.805371745302923,-11.994628254697078
2024-01-17,3,11,1-3-2,43.6,7.932798107603686,-35.667201892396314
2024-01-17,3,12,1-2-3,9.7,7.271690480385768,-2.4283095196142312
2024-01-18,4,2,1-2-3,7.9,10.896998858276474,2.9969988582764735
2024-01-18,4,5,1-4-3,9.9,6.71728502560979,-3.18271497439021
2024-01-18,4,6,1-3-4,4.9,13.142666521599983,8.242666521599983
2024-01-18,4,9,1-3-5,5.7,10.168158845884832,4.468158845884832
2024-01-18,4,11,1-6-5,27.0,24.671282477355,-2.3287175226450003
2024-01-18,4,12,1-2-6,33.6,21.38329799434031,-12.216702005659691
2024-01-19,5,1,1-2-4,11.3,11.274760701894854,-0.0252392981051468
2024-01-19,5,2,1-2-5,54.7,10.851954971311724,-43.848045028688276
2024-01-19,5,5,1-5-3,27.9,36.36121779870736,8.46121779870736
2024-01-19,5,8,1-2-3,10.2,16.039196354861083,5.839196354861084
2024-01-19,5,9,1-4-6,66.9,28.60660143817221,-38.2933985618278
2024-01-19,5,11,1-3-6,43.2,17.1573505389488,-26.0426494610512
2024-01-19,5,12,1-4-3,16.3,14.950980585196454,-1.3490194148035464
2024-01-20,6,1,1-3-4,11.7,13.260123940609795,1.5601239406097953
2024-01-20,6,3,1-2-4,20.4,19.25417120690608,-1.1458287930939193
2024-01-20,6,5,1-4-6,64.9,25.58769933365101,-39.312300666348996
2024-01-20,6,6,1-4-5,52.9,47.706147453442036,-5.193852546557963
2024-01-20,6,9,1-2-3,9.8,12.902937656720274,3.1029376567202736
2024-01-20,6,12,1-2-4,10.1,9.17992044645378,-0.9200795535462198
2024-01-23,1,4,1-3-5,37.3,61.524773053167294,24.224773053167297
2024-01-23,1,10,1-3-2,28.2,28.204441379231408,0.00444137923140886
