レース場,タイプ,季節,艇,1着率(%),2着率(%),3着率(%),2連帯率(%),3連帯率(%)
桐生,全体連帯率,-,5,,,,21.34,39.53
桐生,全体連帯率,-,6,,,,12.55,28.03
桐生,季節別着率,春(3-5月),1,49.51,17.65,11.07,,
桐生,季節別着率,春(3-5月),2,14.6,24.68,18.65,,
桐生,季節別着率,春(3-5月),3,12.85,21.43,19.49,,
桐生,季節別着率,春(3-5月),4,12.51,16.09,18.86,,
桐生,季節別着率,春(3-5月),5,7.7,13.4,18.02,,
桐生,季節別着率,春(3-5月),6,3.93,8.02,15.25,,
桐生,季節別着率,夏(6-8月),1,48.66,17.05,10.67,,
桐生,季節別着率,夏(6-8月),2,14.01,23.71,18.91,,
桐生,季節別着率,夏(6-8月),3,13.23,20.61,18.82,,
桐生,季節別着率,夏(6-8月),4,13.17,15.35,19.3,,
桐生,季節別着率,夏(6-8月),5,8.25,15.1,18.18,,
桐生,季節別着率,夏(6-8月),6,3.91,9.55,15.54,,
桐生,季節別着率,秋(9-11月),1,49.72,18.9,9.85,,
桐生,季節別着率,秋(9-11月),2,14.14,23.6,18.62,,
桐生,季節別着率,秋(9-11月),3,12.76,20.28,19.19,,
桐生,季節別着率,秋(9-11月),4,13.06,16.06,19.25,,
桐生,季節別着率,秋(9-11月),5,8.14,13.12,18.88,,
桐生,季節別着率,秋(9-11月),6,3.46,9.43,15.64,,
桐生,季節別着率,冬(12-2月),1,50.11,19.92,9.87,,
桐生,季節別着率,冬(12-2月),2,15.06,24.64,19.1,,
桐生,季節別着率,冬(12-2月),3,13.36,19.87,20.0,,
桐生,季節別着率,冬(12-2月),4,11.94,16.36,19.34,,
桐生,季節別着率,冬(12-2月),5,6.75,12.81,17.67,,
桐生,季節別着率,冬(12-2月),6,4.07,7.79,15.47,,
桐生,季節別連帯率,春(3-5月),1,,,,67.16,78.23
桐生,季節別連帯率,春(3-5月),2,,,,39.28,57.93
桐生,季節別連帯率,春(3-5月),3,,,,34.28,53.78
桐生,季節別連帯率,春(3-5月),4,,,,28.61,47.47
桐生,季節別連帯率,春(3-5月),5,,,,21.1,39.12
桐生,季節別連帯率,春(3-5月),6,,,,11.95,27.2
桐生,季節別連帯率,夏(6-8月),1,,,,65.71,76.39
桐生,季節別連帯率,夏(6-8月),2,,,,37.72,56.63
桐生,季節別連帯率,夏(6-8月),3,,,,33.84,52.66
桐生,季節別連帯率,夏(6-8月),4,,,,28.52,47.82
桐生,季節別連帯率,夏(6-8月),5,,,,23.34,41.52
桐生,季節別連帯率,夏(6-8月),6,,,,13.46,29.01
桐生,季節別連帯率,秋(9-11月),1,,,,68.62,78.47
桐生,季節別連帯率,秋(9-11月),2,,,,37.74,56.36
桐生,季節別連帯率,秋(9-11月),3,,,,33.04,52.23
桐生,季節別連帯率,秋(9-11月),4,,,,29.12,48.38
桐生,季節別連帯率,秋(9-11月),5,,,,21.27,40.15
桐生,季節別連帯率,秋(9-11月),6,,,,12.89,28.53
桐生,季節別連帯率,冬(12-2月),1,,,,70.03,79.9
桐生,季節別連帯率,冬(12-2月),2,,,,39.69,58.79
桐生,季節別連帯率,冬(12-2月),3,,,,33.22,53.22
桐生,季節別連帯率,冬(12-2月),4,,,,28.3,47.64
桐生,季節別連帯率,冬(12-2月),5,,,,19.56,37.23
桐生,季節別連帯率,冬(12-2月),6,,,,11.86,27.32
戸田,全体着率,-,1,42.57,18.53,11.59,,
戸田,全体着率,-,2,16.89,22.91,18.19,,
