開催日,日目,レース,開催日,着,P(1号艇1着),予測,actual_boat1_win,的中
2025-02-23,1,3,2025-02-23,1,0.47778947424755036,0,1,False
2025-02-23,1,4,2025-02-23,4,0.48706932785273965,0,0,True
2025-02-23,1,5,2025-02-23,4,0.1263345565702103,0,0,True
2025-02-23,1,6,2025-02-23,1,0.44292891771953613,0,1,False
2025-02-23,1,7,2025-02-23,5,0.47825579391794265,0,0,True
2025-02-23,1,8,2025-02-23,1,0.6893786372551569,1,1,True
2025-02-23,1,9,2025-02-23,2,0.6547700538921245,1,0,False
2025-02-23,1,10,2025-02-23,1,0.7445352599633481,1,1,True
2025-02-23,1,11,2025-02-23,1,0.8053237455642673,1,1,True
2025-02-23,1,12,2025-02-23,2,0.8911298704939248,1,0,False
2025-02-24,2,1,2025-02-24,1,0.47057011716440045,0,1,False
2025-02-24,2,2,2025-02-24,4,0.015734288602972088,0,0,True
2025-02-24,2,3,2025-02-24,1,0.3713526476143697,0,1,False
2025-02-24,2,4,2025-02-24,1,0.6039064373118915,1,1,True
2025-02-24,2,5,2025-02-24,1,0.2895313597557655,0,1,False
2025-02-24,2,6,2025-02-24,5,0.15201544428044134,0,0,True
2025-02-24,2,7,2025-02-24,1,0.5313317863505823,1,1,True
2025-02-24,2,8,2025-02-24,1,0.7936226298406382,1,1,True
2025-02-24,2,9,2025-02-24,1,0.5554023900148986,1,1,True
2025-02-24,2,10,2025-02-24,1,0.6674737408337363,1,1,True
2025-02-24,2,11,2025-02-24,1,0.7491640806847298,1,1,True
2025-02-24,2,12,2025-02-24,4,0.6561629733783297,1,0,False
2025-02-25,3,1,2025-02-25,1,0.4429984137312939,0,1,False
2025-02-25,3,2,2025-02-25,6,0.21157272381850808,0,0,True
2025-02-25,3,3,2025-02-25,4,0.4746779714968412,0,0,True
2025-02-25,3,4,2025-02-25,2,0.7502153229279569,1,0,False
2025-02-25,3,5,2025-02-25,5,0.2030670666369196,0,0,True
2025-02-25,3,6,2025-02-25,1,0.7792577062335878,1,1,True
2025-02-25,3,7,2025-02-25,2,0.594480222307684,1,0,False
2025-02-25,3,8,2025-02-25,1,0.8169905039488161,1,1,True
2025-02-25,3,10,2025-02-25,3,0.7344988687389001,1,0,False
2025-02-25,3,11,2025-02-25,1,0.803210866007069,1,1,True
2025-02-25,3,12,2025-02-25,1,0.7502167988090603,1,1,True
2025-02-26,4,1,2025-02-26,3,0.3002845459403749,0,0,True
2025-02-26,4,2,2025-02-26,1,0.6205555967859706,1,1,True
2025-02-26,4,3,2025-02-26,4,0.19748361228785527,0,0,True
2025-02-26,4,4,2025-02-26,1,0.6625254719791795,1,1,True
2025-02-26,4,5,2025-02-26,1,0.4672157723788515,0,1,False
2025-02-26,4,6,2025-02-26,1,0.7945070375455148,1,1,True
2025-02-26,4,7,2025-02-26,4,0.3353198581818956,0,0,True
2025-02-26,4,8,2025-02-26,1,0.684322988385056,1,1,True
2025-02-26,4,9,2025-02-26,1,0.8277499639774758,1,1,True
2025-02-26,4,10,2025-02-26,1,0.7443790300683384,1,1,True
2025-02-26,4,11,2025-02-26,1,0.8155497180071661,1,1,True
2025-02-26,4,12,2025-02-26,1,0.7942239494952885,1,1,True
2025-02-27,5,1,2025-02-27,1,0.5533440606424224,1,1,True
2025-02-27,5,2,2025-02-27,1,0.4133301621717243,0,1,False
2025-02-27,5,3,2025-02-27,1,0.5543133888246512,1,1,True
2025-02-27,5,4,2025-02-27,4,0.014461143724015621,0,0,True
2025-02-27,5,5,2025-02-27,3,0.35114520817425304,0,0,True
2025-02-27,5,6,2025-02-27,1,0.716190646195244,1,1,True
2025-02-27,5,7,2025-02-27,4,0.386659798841298,0,0,True
2025-02-27,5,8,2025-02-27,2,0.5935667343340824,1,0,False
2025-02-27,5,9,2025-02-27,1,0.8041432644879579,1,1,True
2025-02-27,5,10,2025-02-27,1,0.7594954763664251,1,1,True
2025-02-27,5,11,2025-02-27,1,0.6597252233691547,1,1,True
2025-02-27,5,12,2025-02-27,3,0.7088730722986574,1,0,False
