開催日,日目,レース,3連単,予測確率,予測順位
2025-01-01,3,5,4-3-5,0.014877355507912303,23
2025-01-01,3,5,1-3-5,0.014844360050967306,24
2025-01-01,3,5,5-3-6,0.014220834485252805,25
2025-01-01,3,5,3-4-5,0.014159260672037806,26
2025-01-01,3,5,3-1-5,0.014132720586954264,27
2025-01-01,3,5,4-6-5,0.014061097571221377,28
2025-01-01,3,5,5-6-3,0.01405485910786681,29
2025-01-01,3,5,1-6-5,0.014029973073695981,30
2025-01-01,3,5,6-4-5,0.013276222918615984,31
2025-01-01,3,5,6-1-5,0.013251395269868746,32
2025-01-01,3,5,3-5-6,0.01215249941910028,33
2025-01-01,3,5,6-5-3,0.011915369143965637,34
2025-01-01,3,5,4-1-3,0.011068091427728544,35
2025-01-01,3,5,1-4-3,0.011064283140340846,36
2025-01-01,3,5,4-1-6,0.010568863648882225,37
2025-01-01,3,5,1-4-6,0.010565227134818427,38
2025-01-01,3,5,4-3-1,0.01038292796877219,39
2025-01-01,3,5,1-3-4,0.010374966781614384,40
2025-01-01,3,5,3-6-5,0.009907729300046986,41
2025-01-01,3,5,3-4-1,0.009881768542174709,42
2025-01-01,3,5,3-1-4,0.009877590284798676,43
2025-01-01,3,5,6-3-5,0.009829119386727784,44
2025-01-01,3,5,4-6-1,0.009813260371860014,45
2025-01-01,3,5,1-6-4,0.009805778362069228,46
2025-01-01,3,5,6-4-1,0.009265495214390813,47
2025-01-01,3,5,6-1-4,0.009261617561342524,48
2025-01-01,3,5,4-3-6,0.007804488730235296,49
2025-01-01,3,5,1-3-6,0.007787179694920569,50
2025-01-01,3,5,4-6-3,0.007724713512200323,51
2025-01-01,3,5,1-6-3,0.007707614717075898,52
2025-01-01,3,5,3-4-6,0.007427784479883673,53
2025-01-01,3,5,3-1-6,0.007413861858029015,54
2025-01-01,3,5,6-4-3,0.0072935286915520895,55
2025-01-01,3,5,6-1-3,0.007279889182062695,56
2025-01-01,3,5,3-6-4,0.006924674557628825,57
2025-01-01,3,5,3-6-1,0.006914618636475481,58
2025-01-01,3,5,6-3-4,0.006869732799507082,59
2025-01-01,3,5,6-3-1,0.006859756664050973,60
2025-01-01,3,5,5-4-2,0.0065696768412479315,61
2025-01-01,3,5,5-1-2,0.006556721580079764,62
2025-01-01,3,5,4-5-2,0.0058988818601598695,63
2025-01-01,3,5,1-5-2,0.005885223718911126,64
2025-01-01,3,5,5-2-4,0.005181698729103405,65
2025-01-01,3,5,5-2-1,0.005174173934482863,66
2025-01-01,3,5,5-3-2,0.0047959110260885635,67
2025-01-01,3,5,5-6-2,0.004526141104566699,68
2025-01-01,3,5,4-2-5,0.00414724754876288,69
2025-01-01,3,5,1-2-5,0.0041382847709172,70
2025-01-01,3,5,3-5-2,0.004098374537657226,71
2025-01-01,3,5,5-2-3,0.004072959423433572,72
2025-01-01,3,5,2-5-4,0.003952872466927589,73
2025-01-01,3,5,2-5-1,0.003947132157614013,74
2025-01-01,3,5,5-2-6,0.003889248031133552,75
2025-01-01,3,5,6-5-2,0.0038371528056373354,76
2025-01-01,3,5,4-1-2,0.0035643006575643865,77
2025-01-01,3,5,1-4-2,0.003563074259921324,78
2025-01-01,3,5,2-4-5,0.0035235051606734053,79
2025-01-01,3,5,2-1-5,0.0035171005338583894,80
2025-01-01,3,5,2-5-3,0.003107067779409402,81
2025-01-01,3,5,2-5-6,0.0029669230619241895,82
2025-01-01,3,5,3-2-5,0.0029436873410882136,83
2025-01-01,3,5,4-2-1,0.0028943700743435806,84
2025-01-01,3,5,1-2-4,0.0028923151206056126,85
2025-01-01,3,5,6-2-5,0.0027651555889127185,86
2025-01-01,3,5,4-3-2,0.00263202793008627,87
2025-01-01,3,5,2-3-5,0.0026277969052594277,88
2025-01-01,3,5,1-3-2,0.0026261905375336084,89
2025-01-01,3,5,3-4-2,0.002504986154182804,90
2025-01-01,3,5,3-1-2,0.0025002908139948525,91
2025-01-01,3,5,2-6-5,0.002488165200637822,92
2025-01-01,3,5,4-6-2,0.00248761962537227,93
2025-01-01,3,5,1-6-2,0.002482113233678318,94
2025-01-01,3,5,2-4-1,0.0024590593577878956,95
2025-01-01,3,5,2-1-4,0.0024581592659497107,96
2025-01-01,3,5,6-4-2,0.002348763495586605,97
2025-01-01,3,5,6-1-2,0.002344371111139897,98
2025-01-01,3,5,4-2-3,0.0022783640477637016,99
2025-01-01,3,5,1-2-3,0.0022734401866795514,100
2025-01-01,3,5,4-2-6,0.0021755981255272058,101
2025-01-01,3,5,1-2-6,0.0021708963558712334,102
2025-01-01,3,5,3-2-4,0.0020573913778963383,103
2025-01-01,3,5,3-2-1,0.002054403661245467,104
2025-01-01,3,5,2-4-3,0.0019357000964610478,105
2025-01-01,3,5,6-2-4,0.0019326126072437449,106
2025-01-01,3,5,2-1-3,0.0019321816010485836,107
2025-01-01,3,5,6-2-1,0.0019298060926795351,108
2025-01-01,3,5,2-4-6,0.001848390078651846,109
2025-01-01,3,5,2-1-6,0.001845030285456572,110
2025-01-01,3,5,2-3-4,0.0018366103696817215,111
2025-01-01,3,5,2-3-1,0.0018339432683019772,112
2025-01-01,3,5,3-6-2,0.0017528263156438568,113
2025-01-01,3,5,2-6-4,0.0017390194804729308,114
2025-01-01,3,5,6-3-2,0.0017389190397622152,115
2025-01-01,3,5,2-6-1,0.001736494099296642,116
2025-01-01,3,5,3-2-6,0.0015442243526842454,117
2025-01-01,3,5,6-2-3,0.0015190872997515898,118
2025-01-01,3,5,2-3-6,0.0013785118814655729,119
2025-01-01,3,5,2-6-3,0.001366917713827093,120
2025-01-01,3,6,4-1-3,0.06369598912388402,1
2025-01-01,3,6,4-3-1,0.05556317708030423,2
2025-01-01,3,6,1-4-3,0.051518123994845344,3
2025-01-01,3,6,4-1-6,0.04734093670276442,4
2025-01-01,3,6,3-4-1,0.04183757851071179,5
2025-01-01,3,6,1-4-6,0.038289950130794406,6
2025-01-01,3,6,4-6-1,0.03751498019337035,7
2025-01-01,3,6,1-3-4,0.03381063179389774,8
2025-01-01,3,6,3-1-4,0.03147638161625966,9
