開催日,日目,レース,3連単,最終オッズ,予測オッズ,予測誤差
2024-09-15,4,3,1-2-3,8.1,19.99997636255987,11.89997636255987
2024-09-15,4,4,1-2-4,38.6,18.232029948475827,-20.367970051524175
2024-09-15,4,5,1-2-5,43.8,19.09434680043149,-24.705653199568506
2024-09-15,4,6,4-5-2,561.2,71.62365980096827,-489.5763401990318
2024-09-15,4,7,4-1-5,172.6,64.23189522108827,-108.36810477891173
2024-09-15,4,9,3-5-6,111.9,125.90632082823551,14.006320828235502
2024-09-15,4,10,1-6-2,17.4,39.62264924147084,22.22264924147084
2024-09-15,4,11,5-4-1,623.5,196.23538725035843,-427.26461274964157
2024-09-15,4,12,1-2-5,5.8,11.314176113598839,5.514176113598839
2024-09-16,5,1,1-3-6,13.6,19.673126178550984,6.073126178550984
2024-09-16,5,2,1-2-3,27.1,14.536203820744202,-12.5637961792558
2024-09-16,5,3,1-3-4,26.1,21.161222944462605,-4.938777055537397
2024-09-16,5,4,3-1-5,17.5,57.25792604353558,39.75792604353558
2024-09-16,5,5,1-2-3,14.8,13.51934712475019,-1.2806528752498103
2024-09-16,5,6,4-2-5,34.5,61.98675969701598,27.486759697015977
2024-09-16,5,7,1-2-4,6.8,11.662500124661534,4.862500124661534
2024-09-16,5,8,1-3-4,5.6,11.816243884299837,6.216243884299837
2024-09-16,5,9,2-4-3,91.3,55.713886731846834,-35.58611326815316
2024-09-16,5,10,1-6-4,43.5,55.344519827330394,11.844519827330394
2024-09-16,5,11,1-2-3,4.5,8.018848430964441,3.518848430964441
2024-09-16,5,12,1-6-4,12.9,60.373233279823644,47.473233279823646
2024-09-17,6,1,1-4-5,32.2,26.663571081917123,-5.53642891808288
2024-09-17,6,2,4-1-2,15.5,39.10879484955002,23.608794849550023
2024-09-17,6,3,1-2-3,33.9,16.724084590602555,-17.175915409397444
2024-09-17,6,4,2-1-3,33.4,32.530983531883386,-0.8690164681166124
2024-09-17,6,5,1-2-3,12.1,8.622634728591919,-3.4773652714080807
2024-09-17,6,6,1-4-2,15.9,14.568383820457083,-1.3316161795429178
2024-09-17,6,7,5-1-2,41.7,41.40172406286104,-0.2982759371389605
2024-09-17,6,8,3-4-2,68.1,176.86607212723527,108.76607212723528
2024-09-17,6,9,1-3-4,9.8,9.943031762467395,0.14303176246739469
2024-09-17,6,10,3-1-6,36.3,50.45096895703252,14.150968957032525
2024-09-17,6,11,2-1-4,39.0,27.794129723374034,-11.205870276625966
2024-09-17,6,12,1-5-3,109.6,31.21913102874524,-78.38086897125476
2024-09-26,1,1,1-2-3,17.9,12.083563182550735,-5.816436817449263
2024-09-26,1,2,3-5-6,101.9,58.07896439814357,-43.82103560185644
2024-09-26,1,3,2-5-4,65.8,93.83652706522544,28.036527065225442
2024-09-26,1,4,1-2-3,34.1,18.830621685749286,-15.269378314250716
2024-09-26,1,5,3-6-2,38.2,143.48270610978446,105.28270610978446
2024-09-26,1,6,1-3-4,5.3,7.45761923737233,2.15761923737233
2024-09-26,1,7,1-5-6,11.3,24.647011020765948,13.347011020765947
2024-09-26,1,8,2-4-5,150.2,81.29389470723284,-68.90610529276715
2024-09-26,1,9,2-4-3,189.4,88.88903923561628,-100.51096076438373
2024-09-26,1,10,1-3-5,15.9,14.805255058386766,-1.094744941613234
2024-09-26,1,11,1-2-4,14.8,8.623311817926552,-6.176688182073448
2024-09-26,1,12,1-3-2,11.1,12.197808395268602,1.0978083952686024
2024-09-27,2,1,4-2-6,92.1,95.48566342428832,3.3856634242883246
2024-09-27,2,2,2-5-6,14.1,66.4777998192048,52.3777998192048
2024-09-27,2,3,5-6-3,70.2,100.33540298324583,30.135402983245825
2024-09-27,2,5,1-6-3,311.1,35.14209393070934,-275.9579060692907
2024-09-27,2,6,3-5-2,240.8,81.4391852977882,-159.36081470221183
2024-09-27,2,7,1-5-6,8.8,27.72329095163143,18.92329095163143
2024-09-27,2,9,2-1-5,64.9,34.0482209594224,-30.851779040577604
2024-09-27,2,10,1-3-2,7.9,10.851402946836888,2.951402946836888
2024-09-27,2,11,4-1-3,64.3,55.53036585804763,-8.769634141952366
2024-09-27,2,12,2-1-3,15.4,32.51520114229858,17.11520114229858
2024-09-28,3,1,5-4-3,147.7,259.11805604757194,111.41805604757195
2024-09-28,3,2,4-6-3,45.9,137.20949566432532,91.30949566432531
2024-09-28,3,3,2-1-3,28.3,28.931233700270486,0.6312337002704851
